Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Costa Rica,7550.092005,,,,,,,,,,,,,,,,,12120.12581,12596.7047,12135.91132,12572.90298,12940.69857,13435.76762,13509.91516,13794.01101,14086.49593,14490.00195,14636.38192
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,23679.97057,23262.6017,24674.27704,24298.26839,25125.62112,25836.30967,25797.66555,25900.89947,29277.29804,27814.03838,28493.32188,29306.79798,30442.53302,31059.84922,31902.76098,32561.68458,33303.04734,34933.41969,35219.73995,33935.93797,32913.18241,33191.63714,30712.429,28487.63736,28696.17309,30743.57457,30842.90835,31567.6881
Czech Republic,,,17699.30241,17632.96632,18138.25846,19117.85339,19828.86748,19738.57085,19674.86201,19895.25384,20790.05419,21272.46728,21483.12065,22299.30094,23058.81426,24572.08276,25777.33246,26959.13843,27444.92647,25802.84676,26202.42121,26616.61282,26761.15295,26672.14165,27112.60412,28567.2667,,
Germany,31793.4238,32994.71129,33324.62618,32732.25324,33195.51179,33594.29889,33807.37915,34311.17858,34853.24499,35457.76408,36528.93716,37019.02051,36820.81534,36648.60805,37693.96508,38050.82353,39828.10977,41079.7742,41393.00886,39673.32117,41235.89462,43769.86181,43826.74122,43888.43922,44429.16204,44765.5564,45203.14278,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,9921.902332,,,,,,
Denmark,32969.10386,33318.86185,33988.66424,34104.41846,35842.62065,36878.84112,37657.06919,38677.74711,39499.16272,40624.46414,41507.75214,41967.78722,42119.00425,42398.54257,43863.73967,44929.05433,46715.64426,46609.20551,46378.55053,43817.26216,44726.4111,45339.71385,45340.48853,45982.81043,46705.52136,47000.4973,47208.89897,
Dominican Republic,5243.449061,5211.747687,5645.734792,5842.013395,5906.741196,6105.714654,6467.147856,6808.575775,7116.166435,7431.552898,7730.830165,7667.930432,7889.615698,7586.149953,7418.321948,7996.393051,8666.793357,9757.236037,10078.11953,10032.47362,10715.2771,10878.92139,11030.65698,11214.74158,11886.08888,12654.75764,13281.73739,13920.99426
Algeria,9910.449559,9383.907022,9390.562608,9103.274114,8783.646086,8841.409567,9006.95634,9037.789672,9438.38225,9533.432069,9637.191199,10069.59353,10387.70305,11005.83972,11244.10716,11536.71693,11683.79385,12358.2578,12576.75232,12547.08253,12875.81829,12852.68323,12874.28766,12921.39668,13150.09985,13337.84166,13809.29473,
East Asia & Pacific (excluding high income),,,,,,2891.095991,3116.702877,3312.084474,3425.551322,3629.640064,3895.861994,4124.872317,4436.656256,4812.960093,5230.690002,5677.603931,6295.180954,7063.557827,7630.609028,8129.162884,8854.881909,9518.36161,10192.58563,10785.76092,11501.29672,12107.91242,12787.45701,13541.81644
Early-demographic dividend,4243.297711,4320.7362,4426.167804,4504.878952,4541.497413,4560.235618,4732.242191,4868.488763,4978.524605,5039.172787,5159.073832,5138.727239,5153.483846,5363.89648,5634.584881,5912.349433,6203.762036,6552.785923,6679.733477,6688.526886,7019.468358,7271.13657,7440.454873,7667.265559,7922.312574,8207.535881,8499.579212,
East Asia & Pacific,,,,,,5990.219447,6288.40176,6513.791087,6534.180915,6763.77158,7120.535834,7325.565475,7640.110711,8026.737102,8497.968578,8958.606474,9595.890524,10373.119,10833.40655,11101.51498,11930.03112,12594.2458,13256.29934,13876.52895,14569.31843,15161.61919,15728.71567,16568.15045
Europe & Central Asia (excluding high income),13723.92608,12937.56637,11407.07385,10675.83357,9507.898307,9282.077655,9173.64637,9335.124389,9055.386877,9261.966954,10040.41529,10438.41734,11011.98415,11695.96724,12693.24422,13518.48979,14513.5758,15650.89773,16272.58402,15253.69806,15928.83448,16780.04793,17295.73075,17809.8723,18084.46559,18072.07098,18185.48494,18826.05158
Europe & Central Asia,20425.47166,20283.15761,19721.91199,19350.23693,19173.43466,19456.37717,19712.51061,20234.27959,20544.39587,21133.01641,22142.93349,22632.92247,23047.61472,23581.67621,24500.84596,25251.67434,26284.05074,27247.07411,27434.01629,26165.77626,26864.13276,27578.68888,27659.75375,27853.62927,28193.14781,28514.73922,28876.52322,
Ecuador,6886.861144,7117.861377,7200.290186,7255.684479,7427.433702,7459.060526,7407.589871,7600.68414,7662.183541,6993.154978,6854.077758,7175.869019,7412.448969,7470.005683,7923.42081,8251.269573,8502.426992,8538.954774,9068.016184,9001.354264,9214.874309,9769.490512,10170.14717,10511.75155,10734.55235,10567.28753,10234.37362,10346.61944
"Egypt, Arab Rep.",5759.370414,5775.794989,5915.53663,5937.475223,6115.966888,6307.920615,6535.636974,6797.11414,6954.139613,7221.037474,7456.708109,7590.474487,7549.777345,7625.840709,7779.181479,7978.950188,8440.898121,8917.869069,9381.844399,9569.457864,9667.586799,9571.993543,9594.777017,9560.542004,9644.388757,9922.558751,10184.93752,10354.80181
Euro area,28318.45502,28926.34192,29173.15231,28877.68899,29363.14387,30056.24886,30531.63545,31288.11428,32069.15999,32994.09785,34161.82897,34659.09057,34724.72159,34862.61381,35669.99572,36100.55602,37243.21509,38097.37212,37912.09345,36248.84812,36932.91229,37606.22741,37201.52988,36969.44801,37272.5668,37784.56959,38382.70165,
Eritrea,,,1109.659876,1266.897908,1543.105508,1604.643087,1697.101013,1817.210311,1832.432826,1794.279825,1678.265356,1763.999362,1749.046836,1641.026093,1607.783084,1613.284335,1561.875219,1553.652254,1371.27609,1398.094327,1401.64985,1496.820311,,,,,,
Spain,23593.95864,24143.76236,24217.19535,23974.81382,23991.49262,24981.87264,25463.47042,26306.91584,27307.55308,28421.69773,29853.00486,30623.66969,31044.41511,31553.77325,31960.91655,32421.8488,33110.06567,33494.29515,33247.93101,32043.86334,32045.38693,31512.28457,30887.77031,30516.02568,31088.15467,32217.41504,33306.69638,
Estonia,,,,,,,,,,,15180.18652,16114.66422,17203.6885,18441.54971,19784.81396,21972.45059,24054.37518,25555.02801,24619.0249,21515.60916,21539.21218,23313.03962,24661.138,25676.0324,26380.2047,26984.52003,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,1160.25448,1227.845528,1322.771574,1420.593606,1526.896829,1602.799842,1719.378176
European Union,24783.73085,25088.59438,25241.35401,25143.69964,25745.5369,26427.75101,26958.19505,27672.13164,28403.76739,29228.57855,30346.38098,30921.16726,31223.38653,31590.36313,32397.80383,33041.61254,34091.86956,34956.34944,34951.70992,33470.26837,34129.39765,34750.78921,34507.58729,34485.86827,34909.55089,35514.05425,36144.58313,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,28132.78967,26110.05703,24832.85967,24381.32417,25523.08471,26721.73835,27823.77513,29720.31337,31096.29083,32738.72451,34657.88436,35692.11321,36333.3851,36625.75003,38467.64625,39284.6948,40933.61311,42604.01769,42655.58544,39370.05121,40389.37419,40867.86187,40120.2465,39563.45023,39372.34276,39248.21252,40066.20628,
Fiji,,,,,,,,,,,,,,,,,,,,,,7262.467628,,,,,,
France,29661.07949,29934.73222,30322.28628,30038.56757,30565.8177,31080.04593,31550.26681,32282.84514,33328.56415,34528.51339,35556.56363,35963.29518,35824.72926,35947.26464,36751.02116,37167.53132,37880.95264,38564.94042,38443.33132,36998.70529,37631.69073,38319.81135,37876.37219,37891.9027,38085.2257,38367.33248,38701.79712,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,3517.922242,,,,,,
Gabon,19313.29509,20003.37128,18450.45248,18481.81323,19094.13742,19289.87797,19436.59319,19896.16437,20854.22214,18139.27084,16088.59047,16966.15197,17112.87436,16765.92175,15433.14332,16188.89713,14477.03514,14550.5489,13386.11312,14040.7739,13823.37696,13712.40758,14943.92823,15517.94066,16978.62009,16472.49785,16575.17296,16700.5726
United Kingdom,26684.33992,26316.00395,26355.60599,26952.21336,27943.49056,28546.40689,29199.61275,30307.96571,31197.56287,32055.5828,33350.76078,34180.61221,35082.15499,36101.55217,36797.78828,37884.37671,38065.17036,38638.53266,37875.84289,36021.84834,36682.66268,36895.90818,36695.84475,37026.21759,37597.65822,38145.56889,38679.50732,
Georgia,,,,,,,,,,,,,,,,,,,,,,7101.059676,7808.403549,8098.461468,8668.555445,8765.537752,8785.470357,9186.409714
Ghana,,,,,,,,,,,,,,,,,2618.542605,2662.987368,2836.484357,2900.247692,3010.662822,3298.613655,3446.284282,3699.495987,3699.893346,3861.463782,3889.318276,4096.173789
